SUBKEY,LUMAPCODE,TIMESTEP
55_99_20416_4,1,5
55_7_20099_3,2,5
55_7_20706_3,3,5
55_31_20440_3,4,5
55_41_29079_2,5,5
55_125_20261_2,6,5
55_3_20447_4,7,5
55_125_20443_4,8,5
55_125_20003_2,9,5
55_83_20396_1,10,5
55_3_20001_1,11,5
55_37_29027_3,12,5
55_37_20018_4,13,5
55_3_20164_3,14,5
55_51_20396_4,15,5
55_3_20156_1,16,5
55_119_20128_3,17,5
55_78_20064_3,18,5
55_75_20692_3,19,5
55_37_20143_2,20,5
55_119_20075_4,21,5
55_31_20164_3,22,5
55_3_20360_4,23,5
55_85_20063_3,24,5
55_51_20435_2,25,5
55_3_20225_2,26,5
55_3_20002_3,27,5
55_3_20587_1,28,5
55_99_20230_4,29,5
55_7_29045_3,30,5
55_3_20102_2,31,5
55_41_20008_1,32,5
55_113_20210_3,33,5
55_7_20126_2,34,5
55_113_20464_4,35,5
55_51_20239_1,36,5
55_99_20588_1,37,5
55_83_20108_3,38,5
55_67_20414_4,39,5
55_41_20361_1,40,5
55_51_20397_3,41,5
55_41_20282_1,42,5
55_129_20284_2,43,5
55_75_20610_4,44,5
55_75_20751_1,45,5
55_7_20380_1,46,5
55_83_20293_3,47,5
55_51_20351_2,48,5
55_29_20162_2,49,5
55_37_20132_4,50,5
55_51_20091_1,51,5
55_41_29066_1,52,5
55_3_20331_1,53,5
55_31_20313_4,54,5
55_135_20077_2,55,5
55_85_20659_1,56,5
55_37_20213_2,57,5
55_119_20254_1,58,5
55_85_20385_1,59,5
55_113_20003_3,60,5
55_69_20375_2,61,5
55_7_20544_4,62,5
55_69_20098_1,63,5
55_67_20124_1,64,5
55_99_20361_1,65,5
55_113_20550_1,66,5
55_31_20654_4,67,5
55_125_20412_2,68,5
55_51_20009_4,69,5
55_67_20369_3,70,5
55_113_20206_2,71,5
55_125_20283_1,72,5
55_3_20588_3,73,5
55_99_20184_1,74,5
55_7_20640_1,75,5
55_3_20307_4,76,5
55_31_20561_3,77,5
55_113_20123_3,78,5
55_67_20360_1,79,5
55_3_20528_2,80,5
55_41_20357_1,81,5
55_31_20039_3,82,5
55_83_20444_4,83,5
55_99_20370_1,84,5
55_51_20212_3,85,5
55_51_20353_1,86,5
55_125_20407_1,87,5
55_7_20698_1,88,5
55_3_20217_2,89,5
55_31_20701_1,90,5
55_41_29023_3,91,5
55_67_20281_3,92,5
55_7_20715_3,93,5
55_113_20591_3,94,5
55_69_20008_2,95,5
55_31_20001_4,96,5
55_85_20104_3,97,5
55_29_20035_3,98,5
55_67_20147_3,99,5
55_3_20367_2,100,5
55_3_20384_1,101,5
55_3_20059_4,102,5
55_85_20213_4,103,5
55_41_20217_4,104,5
55_69_20379_1,105,5
55_115_20033_1,106,5
55_75_20588_2,107,5
55_99_20538_4,108,5
55_41_20388_1,109,5
55_69_20169_4,110,5
55_69_20386_3,111,5
55_67_20466_2,112,5
55_51_20448_4,113,5
55_73_20166_2,114,5
55_3_20612_2,115,5
55_69_20060_1,116,5
55_67_20196_2,117,5
55_125_20467_4,118,5
55_7_29032_4,119,5
55_85_20336_1,120,5
55_41_20149_2,121,5
55_3_20444_1,122,5
55_125_29007_3,123,5
55_51_20188_4,124,5
55_31_20103_1,125,5
55_119_20157_2,126,5
55_75_20587_1,127,5
55_7_20498_4,128,5
55_7_20638_3,129,5
55_85_20474_2,130,5
55_69_20396_3,131,5
55_75_20542_3,132,5
55_7_20287_1,133,5
55_7_20536_4,134,5
55_67_20230_3,135,5
55_75_20570_1,136,5
55_99_20047_4,137,5
55_75_20695_2,138,5
55_37_20225_2,139,5
55_129_20255_2,140,5
55_53_20381_4,141,5
55_115_20007_3,142,5
55_17_20493_3,143,5
55_31_20675_2,144,5
55_113_20498_3,145,5
55_3_20530_4,146,5
55_85_20477_3,147,5
55_119_20376_1,148,5
55_119_20462_4,149,5
55_129_20428_2,150,5
55_125_20017_3,151,5
55_41_20395_1,152,5
55_51_20243_1,153,5
55_7_20281_4,154,5
55_85_20515_1,155,5
55_113_20368_1,156,5
55_113_20429_2,157,5
55_99_20065_3,158,5
55_7_20604_2,159,5
55_75_20527_1,160,5
55_99_29021_3,161,5
55_41_20308_2,162,5
55_3_20246_4,163,5
55_31_20552_1,164,5
55_13_20420_3,165,5
55_125_20418_1,166,5
55_67_20244_3,167,5
55_99_29001_2,168,5
55_99_20529_1,169,5
55_69_20114_4,170,5
55_51_20018_1,171,5
55_99_29032_3,172,5
55_85_20314_1,173,5
55_41_29017_1,174,5
55_51_20214_4,175,5
55_85_20227_3,176,5
55_85_20103_2,177,5
55_141_20120_1,178,5
55_85_20584_2,179,5
55_78_20095_1,180,5
55_41_20066_2,181,5
55_51_20162_4,182,5
55_85_20287_2,183,5
55_85_20162_1,184,5
55_41_20371_1,185,5
55_69_20306_4,186,5
55_3_10662_3,187,5
55_51_20111_4,188,5
55_75_20127_4,189,5
55_129_20399_3,190,5
55_125_20462_1,191,5
55_75_20687_4,192,5
55_7_20268_1,193,5
55_81_20168_2,194,5
55_53_20213_4,195,5
55_125_20191_3,196,5
55_85_20469_1,197,5
55_13_20436_3,198,5
55_7_20359_2,199,5
55_41_20360_1,200,5
55_53_20038_3,201,5
55_13_20024_3,202,5
55_1_20133_4,203,5
55_13_20402_1,204,5
55_137_20161_1,205,5
55_53_20420_1,206,5
55_13_20282_4,207,5
55_1_20251_4,208,5
55_81_20463_4,209,5
55_77_20254_2,210,5
55_53_20410_3,211,5
55_125_20410_1,212,5
55_125_20001_2,213,5
55_137_20267_2,214,5
55_53_20113_2,215,5
55_31_20531_3,216,5
55_75_20232_2,217,5
55_97_20073_1,218,5
55_78_20059_3,219,5
55_1_20268_1,220,5
55_19_20597_2,221,5
55_135_20293_2,222,5
55_57_20303_1,223,5
55_81_20210_4,224,5
55_83_20430_3,225,5
55_53_20401_1,226,5
55_19_20411_4,227,5
55_19_20428_3,228,5
55_53_20283_3,229,5
55_53_20068_1,230,5
55_81_20418_2,231,5
55_135_20345_2,232,5
55_57_20205_3,233,5
55_53_20102_3,234,5
55_141_20196_2,235,5
55_13_20462_4,236,5
55_85_20505_1,237,5
55_137_20326_3,238,5
55_141_20078_2,239,5
55_137_20205_1,240,5
55_53_20466_1,241,5
55_75_20010_4,242,5
55_83_20324_4,243,5
55_1_20307_1,244,5
55_113_20264_2,245,5
55_19_20111_3,246,5
55_69_20368_1,247,5
55_19_20219_4,248,5
55_135_20186_1,249,5
55_53_20404_3,250,5
55_135_20314_2,251,5
55_35_20180_3,252,5
55_57_20345_1,253,5
55_1_20184_3,254,5
55_75_20265_4,255,5
55_81_20071_3,256,5
55_99_29035_4,257,5
55_135_20183_1,258,5
55_71_20160_1,259,5
55_71_20329_3,260,5
55_71_20090_4,261,5
55_135_20316_1,262,5
55_29_20467_3,263,5
55_3_20638_3,264,5
55_99_20137_4,265,5
55_78_20007_4,266,5
55_78_20200_2,267,5
55_99_20485_4,268,5
55_75_20130_4,269,5
55_73_20110_1,270,5
55_29_20437_2,271,5
55_78_20036_4,272,5
55_119_20114_3,273,5
55_121_20335_3,274,5
55_121_20327_1,275,5
55_63_20204_1,276,5
55_25_20597_2,277,5
55_65_20252_4,278,5
55_109_20120_4,279,5
55_105_20025_3,280,5
55_65_20314_4,281,5
55_81_20352_2,282,5
55_35_20323_3,283,5
55_53_20459_2,284,5
55_97_20328_3,285,5
55_15_20060_4,286,5
55_65_20079_4,287,5
55_53_20469_1,288,5
55_75_20193_4,289,5
55_129_20410_2,290,5
55_85_20559_4,291,5
55_35_20293_2,292,5
55_129_20409_4,293,5
55_125_20437_3,294,5
55_7_20181_1,295,5
55_35_20084_4,296,5
55_75_20606_3,297,5
55_3_20256_4,298,5
55_107_20370_2,299,5
55_125_20394_4,300,5
55_75_20667_4,301,5
55_137_20060_2,302,5
55_73_20641_1,303,5
55_107_20230_1,304,5
55_11_20098_4,305,5
55_125_20386_4,306,5
55_17_20445_2,307,5
55_123_20185_2,308,5
55_35_20272_4,309,5
55_35_20253_3,310,5
55_19_20366_2,311,5
55_19_20175_1,312,5
55_3_20113_4,313,5
55_13_20426_4,314,5
55_17_20391_3,315,5
55_73_20687_1,316,5
55_75_20674_2,317,5
55_7_20712_4,318,5
55_37_20128_2,319,5
55_41_20088_4,320,5
55_17_20525_2,321,5
55_7_20717_1,322,5
55_19_20559_3,323,5
55_113_20017_1,324,5
55_7_20330_4,325,5
55_95_20097_1,326,5
55_19_20021_1,327,5
55_17_20288_3,328,5
55_7_20655_2,329,5
55_125_20414_3,330,5
55_113_20605_1,331,5
55_113_20652_4,332,5
55_7_20611_4,333,5
55_33_20331_2,334,5
55_35_20273_2,335,5
55_135_20085_3,336,5
55_119_20106_2,337,5
55_31_20163_4,338,5
55_3_20532_1,339,5
55_95_20130_1,340,5
55_51_20062_4,341,5
55_7_29021_1,342,5
55_81_20280_3,343,5
55_7_20684_2,344,5
55_35_20089_2,345,5
55_107_20327_2,346,5
55_41_20401_4,347,5
55_7_20320_1,348,5
55_75_20668_4,349,5
55_129_20294_1,350,5
55_83_20385_3,351,5
55_113_20535_4,352,5
55_13_20384_4,353,5
55_135_20318_1,354,5
55_13_20379_3,355,5
55_13_20034_1,356,5
55_31_20670_4,357,5
55_99_20174_3,358,5
55_19_20567_4,359,5
55_125_20504_2,360,5
55_125_29001_3,361,5
55_78_20207_1,362,5
55_19_20515_2,363,5
55_125_20331_4,364,5
55_137_20305_4,365,5
55_107_20055_2,366,5
55_19_20060_4,367,5
55_51_20406_2,368,5
55_83_20013_4,369,5
55_69_20333_4,370,5
55_19_20557_4,371,5
55_69_20002_3,372,5
55_83_20393_3,373,5
55_7_20451_3,374,5
55_17_20475_4,375,5
55_53_20100_2,376,5
55_75_20621_2,377,5
55_83_20388_3,378,5
55_67_20129_4,379,5
55_41_20040_1,380,5
55_109_20141_3,381,5
55_67_20141_1,382,5
55_78_20210_3,383,5
55_51_20334_3,384,5
55_41_20013_3,385,5
55_113_20103_1,386,5
55_67_20337_3,387,5
55_67_20364_3,388,5
55_41_20359_2,389,5
55_123_20073_4,390,5
55_125_20313_4,391,5
55_78_20071_3,392,5
55_7_20649_2,393,5
55_107_20248_2,394,5
55_7_20382_4,395,5
55_3_20630_1,396,5
55_45_20244_1,397,5
55_125_20119_1,398,5
55_73_20742_2,399,5
55_119_20332_3,400,5
55_125_20143_1,401,5
55_119_20096_1,402,5
55_125_20488_2,403,5
55_3_20297_4,404,5
55_113_20598_4,405,5
55_51_20389_4,406,5
55_41_20126_1,407,5
55_107_20284_2,408,5
55_99_20565_1,409,5
55_67_20465_3,410,5
55_78_20222_1,411,5
55_67_20338_1,412,5
55_41_20296_1,413,5
55_43_20276_4,414,5
55_129_20207_4,415,5
55_33_20369_1,416,5
55_125_20374_2,417,5
55_69_20392_1,418,5
55_43_20450_3,419,5
55_85_20138_3,420,5
55_73_20808_2,421,5
55_3_20202_3,422,5
55_19_20546_4,423,5
55_125_20446_1,424,5
55_7_20290_2,425,5
55_99_20030_1,426,5
55_51_20133_2,427,5
55_73_20129_1,428,5
55_3_20287_1,429,5
55_51_20102_3,430,5
55_99_20007_1,431,5
55_123_20388_3,432,5
55_113_20392_1,433,5
55_7_20506_2,434,5
55_113_20509_1,435,5
55_78_20228_2,436,5
55_125_20393_4,437,5
55_107_20302_2,438,5
55_103_20090_4,439,5
55_95_20185_1,440,5
55_51_20033_1,441,5
55_57_20016_1,442,5
55_113_20586_1,443,5
55_7_20220_1,444,5
55_33_20231_1,445,5
55_113_20273_4,446,5
55_109_20353_1,447,5
55_67_20172_4,448,5
55_41_20214_3,449,5
55_129_20363_4,450,5
55_33_20389_1,451,5
55_69_20163_3,452,5
55_3_20017_3,453,5
55_67_20094_1,454,5
55_67_20191_4,455,5
55_31_20610_2,456,5
55_78_20230_2,457,5
55_123_20212_1,458,5
55_3_20636_3,459,5
55_107_20459_2,460,5
55_73_20196_3,461,5
55_3_20609_3,462,5
55_125_20447_1,463,5
55_51_20255_1,464,5
55_119_20397_4,465,5
55_125_20203_3,466,5
55_107_20060_4,467,5
55_83_20030_4,468,5
55_73_20203_1,469,5
55_49_20213_4,470,5
55_7_20711_1,471,5
55_7_20018_2,472,5
55_73_20684_2,473,5
55_49_20328_3,474,5
55_7_20755_1,475,5
55_29_20104_2,476,5
55_141_20179_1,477,5
55_129_20287_2,478,5
55_107_20251_3,479,5
55_7_20654_1,480,5
55_107_20184_1,481,5
55_7_20554_3,482,5
55_125_29012_3,483,5
55_129_20074_1,484,5
55_7_20745_4,485,5
55_53_20316_4,486,5
55_75_20394_3,487,5
55_31_20562_1,488,5
55_125_20379_3,489,5
55_125_20396_1,490,5
55_7_20742_3,491,5
55_31_20530_1,492,5
55_41_20238_4,493,5
55_111_20291_1,494,5
55_93_20221_2,495,5
55_11_20193_4,496,5
55_63_20004_4,497,5
55_43_20559_4,498,5
55_121_20224_4,499,5
55_113_20315_1,500,5
55_69_20063_3,501,5
55_23_20222_3,502,5
55_121_20050_4,503,5
55_11_20321_3,504,5
55_121_20048_4,505,5
55_123_20204_4,506,5
55_53_20197_4,507,5
55_11_20106_1,508,5
55_67_20440_2,509,5
55_119_20380_2,510,5
55_99_20314_1,511,5
55_69_20437_3,512,5
55_85_20167_2,513,5
55_123_20236_2,514,5
55_141_20081_1,515,5
55_99_29033_3,516,5
55_113_20227_2,517,5
55_41_20175_4,518,5
55_29_20150_1,519,5
55_115_20395_3,520,5
55_141_20279_1,521,5
55_51_20055_3,522,5
55_19_20420_3,523,5
55_119_20263_4,524,5
55_31_20306_3,525,5
55_119_20045_1,526,5
55_129_20377_3,527,5
55_7_20409_2,528,5
55_31_20650_4,529,5
55_51_20014_1,530,5
55_7_20073_3,531,5
55_107_20168_3,532,5
55_51_20402_4,533,5
55_78_20055_4,534,5
55_13_20009_2,535,5
55_83_20106_4,536,5
55_71_20063_1,537,5
55_75_20088_4,538,5
55_113_20211_1,539,5
55_107_20363_2,540,5
55_41_20269_2,541,5
55_55_20052_2,542,5
55_83_20127_2,543,5
55_75_20424_3,544,5
55_51_20342_3,545,5
55_5_20386_4,546,5
55_107_20268_2,547,5
55_115_20027_1,548,5
55_99_20359_1,549,5
55_51_20335_1,550,5
55_13_20051_1,551,5
55_95_20422_1,552,5
55_51_20321_4,553,5
55_99_20556_2,554,5
55_99_20285_2,555,5
55_69_20332_2,556,5
55_115_20357_4,557,5
55_99_20443_2,558,5
55_75_20689_1,559,5
55_41_20288_2,560,5
55_141_20084_2,561,5
55_115_20445_1,562,5
55_31_20214_1,563,5
55_119_20180_1,564,5
55_99_20061_3,565,5
55_31_20236_2,566,5
55_51_20170_4,567,5
55_119_20317_3,568,5
55_107_20440_2,569,5
55_9_20237_4,570,5
55_119_20231_2,571,5
55_7_20391_2,572,5
55_109_20065_2,573,5
55_71_20378_2,574,5
55_29_20451_1,575,5
55_103_20017_2,576,5
55_17_20453_1,577,5
55_121_20076_1,578,5
55_117_20047_1,579,5
55_99_20503_1,580,5
55_75_20454_2,581,5
55_61_20100_2,582,5
55_67_20358_4,583,5
55_71_20369_4,584,5
55_91_10236_2,585,5
55_99_20535_2,586,5
55_113_20190_3,587,5
55_29_20459_4,588,5
55_109_20220_2,589,5
55_107_20323_2,590,5
55_103_20136_3,591,5
55_51_20141_4,592,5
55_133_20214_1,593,5
55_113_20649_4,594,5
55_7_20646_2,595,5
55_75_20068_2,596,5
55_7_20609_2,597,5
55_95_20220_4,598,5
55_129_20031_4,599,5
55_129_20268_4,600,5
55_113_20541_4,601,5
55_113_29011_1,602,5
55_119_20419_3,603,5
55_73_20735_2,604,5
55_129_20050_1,605,5
55_99_20446_4,606,5
55_13_20199_2,607,5
55_83_20440_3,608,5
55_111_20278_4,609,5
55_3_20338_1,610,5
55_78_20100_2,611,5
55_7_20574_1,612,5
55_23_20181_3,613,5
55_113_20274_3,614,5
55_113_20145_2,615,5
55_75_20071_3,616,5
55_107_20313_2,617,5
55_43_20039_1,618,5
55_17_20025_4,619,5
55_119_20429_4,620,5
55_5_20344_1,621,5
55_35_20296_4,622,5
55_37_20008_2,623,5
55_31_20435_1,624,5
55_129_20314_4,625,5
55_5_20299_3,626,5
55_113_20327_2,627,5
55_23_20216_1,628,5
55_113_20532_3,629,5
55_7_20444_3,630,5
55_31_20594_3,631,5
55_107_20362_2,632,5
55_113_20253_1,633,5
55_113_20536_2,634,5
55_123_20209_3,635,5
55_41_20365_3,636,5
55_129_20403_1,637,5
55_7_20055_3,638,5
55_119_20421_4,639,5
55_113_20466_4,640,5
55_41_20141_1,641,5
55_41_20171_4,642,5
55_75_20433_1,643,5
55_111_20247_2,644,5
55_113_29006_4,645,5
55_113_20508_4,646,5
55_23_20283_4,647,5
55_99_20427_1,648,5
55_9_20007_4,649,5
55_5_20178_2,650,5
55_95_20455_3,651,5
55_107_20375_2,652,5
55_113_20215_4,653,5
55_57_20383_3,654,5
55_13_20039_2,655,5
55_129_20379_3,656,5
55_95_20363_1,657,5
55_129_20306_2,658,5
55_7_20621_3,659,5
55_83_20348_2,660,5
55_83_20485_2,661,5
55_75_20662_4,662,5
55_35_20173_2,663,5
55_43_20113_2,664,5
55_69_20458_2,665,5
55_53_20196_1,666,5
55_85_20629_2,667,5
55_19_20436_1,668,5
55_125_20387_4,669,5
55_75_20314_3,670,5
55_119_29016_4,671,5
55_7_20644_4,672,5
55_53_20036_1,673,5
55_7_20286_4,674,5
55_75_20373_4,675,5
55_31_20564_3,676,5
55_7_20453_1,677,5
55_37_20114_1,678,5
55_19_20485_2,679,5
55_129_20411_4,680,5
55_83_20328_4,681,5
55_113_20112_3,682,5
55_69_20067_2,683,5
55_99_20444_1,684,5
55_31_20704_2,685,5
55_115_20089_1,686,5
55_73_20766_3,687,5
55_67_20201_1,688,5
55_37_20157_2,689,5
55_125_20395_3,690,5
55_107_20371_2,691,5
55_31_20518_2,692,5
55_31_20040_1,693,5
55_3_20642_3,694,5
55_31_20700_1,695,5
55_37_20167_4,696,5
55_73_20643_3,697,5
55_83_20182_1,698,5
55_37_20020_3,699,5
55_69_20028_1,700,5
55_7_20418_4,701,5
55_119_20238_1,702,5
55_7_20278_3,703,5
55_67_20402_2,704,5
55_41_20402_4,705,5
55_37_20234_4,706,5
55_69_20110_1,707,5
55_113_20493_2,708,5
55_115_20450_1,709,5
55_31_20581_1,710,5
55_37_20104_1,711,5
55_69_20329_4,712,5
55_73_20645_3,713,5
55_41_20355_1,714,5
55_29_20029_2,715,5
55_85_20046_1,716,5
55_107_20217_3,717,5
55_73_20723_1,718,5
55_99_20466_4,719,5
55_51_20274_2,720,5
55_41_20352_4,721,5
55_67_20335_3,722,5
55_95_20437_3,723,5
55_7_20333_3,724,5
55_51_20032_1,725,5
55_85_20050_3,726,5
55_119_20087_3,727,5
55_129_20416_4,728,5
55_17_20244_1,729,5
55_85_20582_1,730,5
55_37_20138_2,731,5
55_3_20601_3,732,5
55_125_20497_2,733,5
55_129_20330_4,734,5
55_7_20283_3,735,5
55_5_20409_4,736,5
55_7_20696_1,737,5
55_113_20592_2,738,5
55_41_20372_4,739,5
55_19_20410_2,740,5
55_99_20433_2,741,5
55_31_20699_3,742,5
55_99_20591_2,743,5
55_85_20470_3,744,5
55_31_20143_2,745,5
55_75_20724_1,746,5
55_31_20298_3,747,5
55_125_20358_3,748,5
55_85_20634_4,749,5
55_5_20078_3,750,5
55_125_20383_4,751,5
55_119_20379_2,752,5
55_31_20676_3,753,5
55_85_20423_2,754,5
55_85_20427_4,755,5
55_75_20074_4,756,5
55_41_20305_2,757,5
55_109_20319_3,758,5
55_31_20671_2,759,5
55_85_20484_1,760,5
55_41_20325_2,761,5
55_67_20059_1,762,5
55_13_20422_4,763,5
55_69_20070_1,764,5
55_125_20043_2,765,5
55_113_20469_3,766,5
55_125_20385_3,767,5
55_5_20374_2,768,5
55_69_20385_2,769,5
55_99_20567_4,770,5
55_125_20466_3,771,5
55_67_20329_2,772,5
55_7_20656_4,773,5
55_85_20309_3,774,5
55_85_20353_1,775,5
55_41_20303_1,776,5
55_17_20498_4,777,5
55_7_20182_1,778,5
55_7_20217_4,779,5
55_69_20010_4,780,5
55_69_20325_4,781,5
55_99_20548_2,782,5
55_51_20355_3,783,5
55_7_20650_4,784,5
55_7_29031_2,785,5
55_119_20328_1,786,5
55_75_20005_1,787,5
55_17_20095_2,788,5
55_141_20404_3,789,5
55_85_20093_3,790,5
55_3_29037_4,791,5
55_125_20491_1,792,5
55_129_20465_2,793,5
55_75_20485_4,794,5
55_1_20303_1,795,5
55_113_20363_3,796,5
55_121_20046_4,797,5
55_7_20692_2,798,5
55_85_20355_3,799,5
55_19_20045_4,800,5
55_113_20241_3,801,5
55_57_20392_4,802,5
55_99_20478_2,803,5
55_123_20382_3,804,5
55_99_20287_4,805,5
55_51_20266_2,806,5
55_75_20626_2,807,5
55_99_20534_1,808,5
55_7_20484_1,809,5
55_107_20291_3,810,5
